k,strategy,words,representation_unique,representation_collision_entries,representation_collision_rate,representation_collision_pairs,representation_max_group,hash,hash_unique,hash_collision_entries,hash_collision_rate,hash_collision_pairs,hash_max_group,hashes_per_second
12,PREFIX,466550,445322,21228,0.04549994641517522,37659,28,MURMUR3_64,445322,21228,0.04549994641517522,37659,28,3409345.727298854
12,PREFIX,466550,445322,21228,0.04549994641517522,37659,28,XXHASH64,445322,21228,0.04549994641517522,37659,28,3849981.197763892
12,SUFFIX,466550,449753,16797,0.03600257207158933,43366,111,HPSS_POSITIONAL,449753,16797,0.03600257207158933,43366,111,1015719.7716427596
12,SUFFIX,466550,449753,16797,0.03600257207158933,43366,111,FNV1A64,449753,16797,0.03600257207158933,43366,111,900121.032564733
12,SUFFIX,466550,449753,16797,0.03600257207158933,43366,111,MURMUR3_64,449753,16797,0.03600257207158933,43366,111,3386856.285521698
12,SUFFIX,466550,449753,16797,0.03600257207158933,43366,111,XXHASH64,449753,16797,0.03600257207158933,43366,111,3842414.4426240223
12,HPSS,466550,462335,4215,0.009034401457507234,9714,63,HPSS_POSITIONAL,462335,4215,0.009034401457507234,9714,63,1023681.1424681919
12,HPSS,466550,462335,4215,0.009034401457507234,9714,63,FNV1A64,462335,4215,0.009034401457507234,9714,63,889137.1743490349
12,HPSS,466550,462335,4215,0.009034401457507234,9714,63,MURMUR3_64,462335,4215,0.009034401457507234,9714,63,3421401.4007387324
12,HPSS,466550,462335,4215,0.009034401457507234,9714,63,XXHASH64,462335,4215,0.009034401457507234,9714,63,3820528.4350577863
12,MIDDLE,466550,458578,7972,0.017087128925088416,10406,12,HPSS_POSITIONAL,458578,7972,0.017087128925088416,10406,12,1010916.4480553336
12,MIDDLE,466550,458578,7972,0.017087128925088416,10406,12,FNV1A64,458578,7972,0.017087128925088416,10406,12,906177.2949565077
12,MIDDLE,466550,458578,7972,0.017087128925088416,10406,12,MURMUR3_64,458578,7972,0.017087128925088416,10406,12,3411730.919580439
12,MIDDLE,466550,458578,7972,0.017087128925088416,10406,12,XXHASH64,458578,7972,0.017087128925088416,10406,12,3884607.9195026364
